cycle,sex_ratio
5661,0.523364
5671,0.57
5681,0.443299
5691,0.474747
5701,0.451923
5711,0.494737
5721,0.55102
5731,0.441667
5741,0.461538
5751,0.495327
5761,0.54717
5771,0.46729
5781,0.529412
5791,0.393258
5801,0.505051
5811,0.427083
5821,0.435644
5831,0.438095
5841,0.402174
5851,0.479167
5861,0.505882
5871,0.46875
5881,0.387755
5891,0.466667
5901,0.476636
5911,0.546296
5921,0.490385
5931,0.505051
5941,0.55102
5951,0.46875
5961,0.515464
5971,0.389474
5981,0.490385
5991,0.567568
6001,0.490196
6011,0.478261
6021,0.475248
6031,0.463158
6041,0.528846
6051,0.563107
6061,0.553191
6071,0.479167
6081,0.544554
6091,0.544554
6101,0.521739
6111,0.533333
6121,0.518519
6131,0.449438
6141,0.463918
6151,0.424242
6161,0.514286
6171,0.473684
6181,0.446602
6191,0.494845
6201,0.520408
6211,0.5
6221,0.465347
6231,0.544554
6241,0.576923
6251,0.555556
6261,0.423077
6271,0.435185
6281,0.485149
6291,0.46
6301,0.441176
6311,0.490196
6321,0.461538
6331,0.544444
6341,0.557895
6351,0.539326
6361,0.494845
6371,0.598039
6381,0.489796
6391,0.546392
6401,0.519231
6411,0.5
6421,0.495495
6431,0.528846
6441,0.578947
6451,0.494949
6461,0.55
6471,0.580952
6481,0.455446
6491,0.541667
6501,0.578431
6511,0.514563
6521,0.433962
6531,0.466667
6541,0.443299
6551,0.468085
6561,0.494845
6571,0.47619
6581,0.46729
6591,0.457143
6601,0.53
6611,0.444444
6621,0.4
6631,0.590476
6641,0.462264
6651,0.542553
6661,0.471154
6671,0.575472
6681,0.524752
6691,0.591837
6701,0.544554
6711,0.568182
6721,0.61165
6731,0.455446
6741,0.43617
6751,0.376147
6761,0.509804
6771,0.61165
6781,0.605769
6791,0.514563
6801,0.539216
6811,0.505051
6821,0.495146
6831,0.474747
6841,0.518868
6851,0.490385
6861,0.431373
6871,0.515152
6881,0.390909
6891,0.478723
6901,0.544554
6911,0.48
6921,0.545455
6931,0.452632
6941,0.504854
6951,0.564356
6961,0.541284
6971,0.489583
6981,0.475728
6991,0.528846
7001,0.46875
7011,0.459184
7021,0.474227
7031,0.421053
7041,0.547368
7051,0.54
7061,0.542857
7071,0.434783
7081,0.431373
7091,0.54955
7101,0.504587
7111,0.469388
7121,0.505263
7131,0.528846
7141,0.468085
7151,0.53
7161,0.537736
7171,0.495146
7181,0.485149
7191,0.5
7201,0.435185
7211,0.536082
7221,0.529412
7231,0.523364
7241,0.47
7251,0.61165
7261,0.44
7271,0.632075
7281,0.45098
7291,0.504587
7301,0.530612
7311,0.593407
7321,0.544554
7331,0.51
7341,0.494505
7351,0.495238
7361,0.515152
7371,0.556701
7381,0.4375
7391,0.504505
7401,0.486239
7411,0.416667
7421,0.436893
7431,0.525253
7441,0.5
7451,0.520833
7461,0.466667
7471,0.563636
7481,0.486239
7491,0.537736
7501,0.42268
7511,0.495146
7521,0.451613
7531,0.57
7541,0.515464
7551,0.480392
7561,0.505495
7571,0.516854
7581,0.524752
7591,0.446602
7601,0.548387
7611,0.460177
7621,0.529412
7631,0.441176
7641,0.461538
7651,0.631579
7661,0.458333
7671,0.574257
7681,0.444444
7691,0.504762
7701,0.50495
7711,0.434343
7721,0.490909
7731,0.638298
7741,0.632075
7751,0.40404
7761,0.448598
7771,0.489583
7781,0.509804
7791,0.475728
7801,0.356436
7811,0.53
7821,0.44086
7831,0.520408
7841,0.514563
7851,0.41
7861,0.483516
7871,0.467391
7881,0.485149
7891,0.518868
7901,0.568627
7911,0.391753
7921,0.456311
7931,0.553398
7941,0.413462
7951,0.479592
7961,0.578431
7971,0.464646
7981,0.593407
7991,0.529412
8001,0.514851
8011,0.58
8021,0.477778
8031,0.490385
8041,0.484211
8051,0.563107
8061,0.464286
8071,0.447619
8081,0.462264
8091,0.442308
8101,0.494737
8111,0.607843
8121,0.545455
8131,0.530612
8141,0.45
8151,0.462366
8161,0.431579
8171,0.489796
8181,0.480769
8191,0.53125
8201,0.514563
8211,0.546392
8221,0.431579
8231,0.46875
8241,0.484211
8251,0.520408
8261,0.550459
8271,0.446602
8281,0.52
8291,0.489583
8301,0.463158
8311,0.509804
8321,0.475248
8331,0.544554
8341,0.442105
8351,0.505263
8361,0.447917
8371,0.625
8381,0.580645
8391,0.543478
8401,0.414141
8411,0.5
8421,0.544554
8431,0.547619
8441,0.43299
8451,0.523364
8461,0.571429
8471,0.546296
8481,0.514286
8491,0.417476
8501,0.571429
8511,0.523364
8521,0.575758
8531,0.495146
8541,0.582524
8551,0.548077
8561,0.5
8571,0.49505
8581,0.478723
8591,0.54
8601,0.550562
8611,0.454545
8621,0.504762
8631,0.520833
8641,0.531915
8651,0.516854
8661,0.515152
8671,0.45098
8681,0.615385
8691,0.515152
8701,0.514286
8711,0.509804
8721,0.494624
8731,0.555556
8741,0.412371
8751,0.47619
8761,0.456311
8771,0.515789
8781,0.529412
8791,0.471154
8801,0.458716
8811,0.420455
8821,0.494845
8831,0.475728
8841,0.472222
8851,0.514286
8861,0.545455
8871,0.421569
8881,0.505051
8891,0.542553
8901,0.490566
8911,0.5
8921,0.472222
8931,0.527778
8941,0.481481
8951,0.46789
8961,0.489796
8971,0.435644
8981,0.49505
8991,0.463918
9001,0.431579
9011,0.55102
9021,0.525253
9031,0.509091
9041,0.548387
9051,0.47
9061,0.54902
9071,0.582524
9081,0.404255
9091,0.447917
9101,0.550459
9111,0.43956
9121,0.534653
9131,0.578947
9141,0.43
9151,0.484848
9161,0.442308
9171,0.5
9181,0.505155
9191,0.540541
9201,0.584158
9211,0.538462
9221,0.564356
9231,0.653465
9241,0.464646
9251,0.413462
9261,0.509804
9271,0.483871
9281,0.5
9291,0.494253
9301,0.572816
9311,0.462264
9321,0.454545
9331,0.515152
9341,0.494505
9351,0.515152
9361,0.606383
9371,0.5
9381,0.482143
9391,0.504854
9401,0.46875
9411,0.483871
9421,0.484848
9431,0.391753
9441,0.494845
9451,0.462264
9461,0.494949
9471,0.514019
9481,0.62766
